type,name,notice,furigana
燃やさないごみ,IHクッキングヒーター,,あ
燃やさないごみ,アイロン,,あ
資源,枝豆のネット,,え
資源,王冠（金属製）,,お
資源,王冠（プラスチック製）,,お
燃やすごみ,アルミ箔,,あ
燃やすごみ,アルミ箔の芯（紙製等）,,あ
びん,一升びん,酒屋さんなどへ返しましょう・キャップを外してひと洗い,い
びん,ウィスキーのびん,キャップを外してひと洗い・割れたものも回収します,う
びん,カップ酒のびん,キャップを外してひと洗い,か
